epoch,accuracy,loss,val_accuracy,val_loss
0,0.696419894695282,0.5860169529914856,0.7297000885009766,0.476841539144516
1,0.7296736836433411,0.4495380222797394,0.7297007441520691,0.39929136633872986
2,0.8195877075195312,0.2887226343154907,0.9866600036621094,0.128306582570076
3,0.9803212285041809,0.07860815525054932,0.9815056920051575,0.07705561071634293
4,0.9847350120544434,0.04868033155798912,0.988213837146759,0.0442667193710804
5,0.9853014945983887,0.04556981846690178,0.9827671051025391,0.06492912024259567
6,0.987706184387207,0.04112296178936958,0.9897880554199219,0.036042504012584686
7,0.9882281422615051,0.038670942187309265,0.9855670928955078,0.04192330315709114
8,0.9892125129699707,0.03497252240777016,0.9896710515022278,0.03231050446629524
9,0.9892703890800476,0.033365648239851,0.9880568385124207,0.04263455793261528
